PETTORALE,SESSO,ANNO,TEMPO_UFFICIALE
576,M,1997,1:12:31
798,F,1996,1:12:34
135,M,1976,1:12:39
64,M,1960,1:12:42
332,M,1975,1:12:43
334,M,1959,1:12:46
340,F,1999,1:12:48
675,F,1969,1:12:49
239,M,2002,1:12:49
4,F,1965,1:12:56
184,F,1970,1:12:59
275,M,1976,1:13:00
90,F,1992,1:13:03
595,M,1988,1:13:04
484,F,1959,1:13:07
326,F,1997,1:13:10
757,F,1971,1:13:12
511,F,1974,1:13:13
502,M,1947,1:13:18
440,F,1972,1:13:23
830,M,1980,1:13:30
655,M,1960,1:13:32
690,F,1978,1:13:46
702,F,1996,1:13:47
425,M,1982,1:13:51
267,F,1975,1:14:02
835,M,1973,1:14:05
773,M,1993,1:14:13
354,M,1969,1:14:19
355,F,1997,1:14:20
307,M,1977,1:14:21
89,F,1969,1:14:52
88,M,1969,1:14:54
460,F,1999,1:14:54
79,F,1975,1:15:03
646,F,1967,1:15:13
510,M,1969,1:15:19
639,F,1999,1:15:23
231,F,1980,1:15:39
102,F,1960,1:16:04
104,M,1961,1:16:04
364,M,1960,1:16:15
603,F,1984,1:16:23
87,M,1974,1:16:31
262,F,1979,1:16:31
48,F,1954,1:16:36
488,F,1988,1:16:36
728,F,1989,1:16:36
373,F,1998,1:16:45
394,F,1992,1:16:46
283,F,1971,1:16:53
197,M,1967,1:17:05
361,F,1985,1:17:14
366,M,1970,1:17:25
365,F,2010,1:17:25
446,M,1975,1:17:44
818,M,1994,1:17:44
600,M,1971,1:17:55
766,M,1979,1:17:59
817,F,1999,1:18:00
496,M,1959,1:18:10
443,F,1971,1:18:15
66,M,1953,1:18:20
67,F,1998,1:18:20
274,F,1994,1:18:26
98,M,1989,1:18:31
51,F,1971,1:18:37
515,M,1953,1:18:38
802,M,1951,1:18:41
561,M,1980,1:18:42
136,F,1967,1:18:50
412,M,1957,1:18:53
185,M,1974,1:19:03
12,F,1957,1:19:07
198,M,1969,1:19:08
610,F,1979,1:19:13
804,M,2004,1:19:29
46,M,1991,1:19:34
339,F,1978,1:19:43
631,F,1974,1:19:44
299,M,1995,1:19:49
534,F,1983,1:19:57
63,F,1975,1:20:13
474,M,1962,1:20:27
349,F,1990,1:20:43
706,M,1977,1:20:46
528,M,1984,1:20:53
